country,cowcode,year,lvau,lvaw,termofoffice,whoappoints,dismissal,otheroffices,whoformulates,finalauthority,roleinbudget,cbobjectives,advances,securitizedlending,termsoflending,potentialborrowing,typeoflimit,maturityofloans,interestrates,primarymarket,ceo,policy,objectives,lol2,reform
United States,2,1970,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1971,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1972,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1973,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1974,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1975,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1976,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1977,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1978,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1979,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1980,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1981,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1982,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1983,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1984,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1985,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1986,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1987,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1988,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1989,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1990,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1991,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1992,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1993,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1994,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1995,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1996,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1997,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1998,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,1999,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2000,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2001,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2002,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2003,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2004,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2005,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2006,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2007,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2008,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2009,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2010,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2011,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2012,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2013,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2014,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2015,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2016,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2017,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2018,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2019,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
United States,2,2020,.5059375009934108,.4751666623124233,.25,.5,0,1,,.2,0,.4,1,.33,.33,1,,1,.25,0,.4375,.1333333353201548,.40000001,.4166666666666667,0
Canada,20,1970,.4709375013411045,.4721249963906595,.75,.75,.83,1,.33,.2,0,.4,.33,.33,.67,.67,.33,.33,.75,0,.8325,.1825000047683716,.40000001,.3525,0
Canada,20,1971,.4709375013411045,.4721249963906595,.75,.75,.83,1,.33,.2,0,.4,.33,.33,.67,.67,.33,.33,.75,0,.8325,.1825000047683716,.40000001,.3525,0
Canada,20,1972,.4709375013411045,.4721249963906595,.75,.75,.83,1,.33,.2,0,.4,.33,.33,.67,.67,.33,.33,.75,0,.8325,.1825000047683716,.40000001,.3525,0
Canada,20,1973,.4709375013411045,.4721249963906595,.75,.75,.83,1,.33,.2,0,.4,.33,.33,.67,.67,.33,.33,.75,0,.8325,.1825000047683716,.40000001,.3525,0
Canada,20,1974,.4709375013411045,.4721249963906595,.75,.75,.83,1,.33,.2,0,.4,.33,.33,.67,.67,.33,.33,.75,0,.8325,.1825000047683716,.40000001,.3525,0
Canada,20,1975,.4709375013411045,.4721249963906595,.75,.75,.83,1,.33,.2,0,.4,.33,.33,.67,.67,.33,.33,.75,0,.8325,.1825000047683716,.40000001,.3525,0
Canada,20,1976,.4709375013411045,.4721249963906595,.75,.75,.83,1,.33,.2,0,.4,.33,.33,.67,.67,.33,.33,.75,0,.8325,.1825000047683716,.40000001,.3525,0
Canada,20,1977,.4709375013411045,.4721249963906595,.75,.75,.83,1,.33,.2,0,.4,.33,.33,.67,.67,.33,.33,.75,0,.8325,.1825000047683716,.40000001,.3525,0
Canada,20,1978,.4709375013411045,.4721249963906595,.75,.75,.83,1,.33,.2,0,.4,.33,.33,.67,.67,.33,.33,.75,0,.8325,.1825000047683716,.40000001,.3525,0
Canada,20,1979,.4709375013411045,.4721249963906595,.75,.75,.83,1,.33,.2,0,.4,.33,.33,.67,.67,.33,.33,.75,0,.8325,.1825000047683716,.40000001,.3525,0
